state_code,county,tract,block,aapi,aian,black,hispanic,multi,other,white
10,001,040100,1000,1,1,9,9,4,0,53
10,001,040100,1001,0,1,5,3,5,0,280
10,001,040100,1002,0,0,0,0,0,0,20
10,001,040100,1003,0,0,0,0,0,0,91
10,001,040100,1004,0,0,0,3,0,0,50
10,001,040100,1005,0,0,0,0,0,0,6
10,001,040100,1006,0,0,3,0,0,0,47
10,001,040100,1007,0,0,0,0,0,0,0
10,001,040100,1008,0,0,0,0,0,0,0
10,001,040100,1009,0,0,0,0,2,0,19
10,001,040100,1010,1,1,19,6,6,0,261
10,001,040100,1011,0,0,1,0,0,0,18
10,001,040100,1012,0,0,0,0,0,0,0
10,001,040100,1013,0,0,0,0,0,0,23
10,001,040100,1014,0,0,1,0,0,0,41
10,001,040100,1015,0,0,0,0,0,0,0
10,001,040100,1016,0,0,1,0,2,0,1
10,001,040100,1017,0,0,0,0,0,0,0
10,001,040100,1018,0,0,0,0,0,0,5
10,001,040100,1019,0,0,1,7,0,0,22
10,001,040100,1020,0,0,10,2,1,0,44
10,001,040100,1021,4,0,8,4,0,0,23
10,001,040100,1022,0,0,3,0,0,0,40
10,001,040100,1023,0,0,5,0,0,0,39
10,001,040100,1024,0,0,0,0,0,0,3
10,001,040100,1025,0,5,8,6,0,0,26
10,001,040100,1026,0,0,0,0,0,0,5
10,001,040100,1027,1,1,4,7,7,0,168
10,001,040100,1028,1,2,2,8,4,0,353
10,001,040100,1029,0,0,0,0,0,0,0
10,001,040100,1030,1,0,2,3,0,0,111
10,001,040100,1031,0,0,0,0,0,0,63
10,001,040100,1032,0,0,0,0,0,0,13
10,001,040100,1033,0,0,0,0,0,0,0
10,001,040100,1034,0,3,5,0,0,0,95
10,001,040100,1035,0,0,0,4,0,0,16
10,001,040100,1036,3,2,64,12,6,0,145
10,001,040100,1037,0,0,20,0,0,0,6
10,001,040100,1038,0,0,0,0,0,0,0
10,001,040100,1039,0,0,37,0,0,0,11
10,001,040100,1040,4,0,18,2,0,0,7
10,001,040100,1041,0,0,0,0,0,0,3
10,001,040100,1042,0,0,0,0,0,0,15
10,001,040100,1043,0,1,10,0,0,0,9
10,001,040100,1044,0,0,0,0,0,0,2
10,001,040100,1045,0,0,2,6,0,0,113
10,001,040100,2000,0,0,9,0,0,0,87
10,001,040100,2001,0,0,2,0,0,0,5
10,001,040100,2002,0,0,0,2,0,0,29
10,001,040100,2003,0,0,0,0,0,0,2
10,001,040100,2004,0,0,0,0,0,0,55
10,001,040100,2005,0,0,0,19,1,0,74
10,001,040100,2006,3,0,7,7,0,0,76
10,001,040100,2007,0,0,0,0,0,0,1
10,001,040100,2008,0,0,0,0,0,0,15
10,001,040100,2009,0,0,0,1,1,0,23
10,001,040100,2010,0,0,0,0,0,0,0
10,001,040100,2011,0,0,0,2,2,0,52
10,001,040100,2012,0,0,0,0,0,0,0
10,001,040100,2013,0,0,2,1,0,0,43
10,001,040100,2014,0,0,0,0,0,0,9
10,001,040100,2015,0,1,14,2,0,0,103
10,001,040100,2016,0,0,0,4,0,0,74
10,001,040100,2017,0,0,4,1,4,0,69
10,001,040100,2018,0,0,0,3,0,0,2
10,001,040100,2019,0,0,0,0,0,0,8
10,001,040100,2020,0,0,2,1,0,0,69
10,001,040100,2021,1,2,14,0,4,1,88
10,001,040100,2022,0,1,19,2,0,0,116
10,001,040100,2023,0,0,6,0,0,0,27
10,001,040100,2024,1,0,0,0,0,0,0
10,001,040100,2025,0,0,0,1,0,0,10
10,001,040100,2026,0,0,0,0,0,0,10
10,001,040100,2027,0,0,0,0,0,0,1
10,001,040100,2028,0,0,0,0,0,0,5
10,001,040100,2029,0,0,0,0,0,0,7
